WARD,ANC,NEIGHBORHOOD_CLUSTER,CENSUS_TRACT,VOTING_PRECINCT,CCN,XBLOCK,YBLOCK,PSA_ID,DistrictID,SHIFT_Code,OFFENSE_Code,METHOD_Code,CRIME_TYPE
80,89,129,220,384,15090,653,7763,43,19,9,1,12,16
80,88,129,211,388,15091,639,7750,56,20,9,4,12,15
80,89,129,221,383,15092,654,7764,43,19,10,0,12,16
80,88,129,212,388,15093,613,7721,56,20,10,1,12,16
80,88,129,215,385,15094,655,7765,41,19,9,0,12,16
80,88,129,215,390,15095,656,7766,56,20,10,1,12,16
80,90,128,226,372,15096,530,7638,42,19,11,0,12,16
80,90,128,225,372,15097,657,7767,42,19,11,4,13,15
80,88,129,213,388,15098,536,7724,56,20,9,4,12,15
80,116,130,235,384,15099,658,7768,45,19,9,0,12,16
80,89,130,231,369,15100,604,7706,44,19,10,0,12,16
80,88,129,214,386,15101,659,7769,41,19,9,2,12,16
80,90,128,223,382,15102,660,7770,42,19,10,1,12,16
80,90,128,226,372,15103,530,7638,42,19,10,0,12,16
80,88,129,215,390,15104,554,7662,56,20,10,0,12,16
80,89,129,222,370,15105,661,7771,43,19,10,2,12,16
80,89,129,221,370,15106,511,7618,43,19,9,0,12,16
80,88,129,214,386,15107,507,7614,41,19,10,0,12,16
80,89,130,231,369,15108,662,7706,44,19,10,0,12,16
80,88,129,213,388,15109,507,7772,56,20,11,1,12,16
80,89,130,235,484,15110,663,7773,45,19,11,1,12,16
80,91,129,209,387,15111,549,7657,41,19,11,0,12,16
80,89,130,231,369,15112,664,7774,44,19,11,1,12,16
80,88,129,213,388,15113,536,7724,56,20,9,1,12,16
80,89,129,222,370,15114,521,7628,43,19,10,0,12,16
80,88,129,214,386,15115,507,7614,41,19,10,0,12,16
80,88,129,213,389,15116,525,7632,56,20,11,1,12,16
80,88,129,216,385,15117,543,7651,41,19,9,0,12,16
80,91,129,209,387,15118,512,7619,55,20,9,0,12,16
80,89,130,219,384,15119,650,7760,45,19,10,1,12,16
80,88,129,211,388,15120,665,7775,56,20,10,1,12,16
80,88,129,211,388,15121,639,7750,56,20,10,1,12,16
80,90,128,223,382,15122,666,7776,42,19,11,3,12,15
80,89,129,222,370,15123,521,7628,43,19,11,3,12,15
80,90,128,226,372,15124,667,7777,42,19,9,1,12,16
80,88,129,214,383,15125,552,7660,41,19,9,4,14,15
80,89,129,215,384,15126,668,7778,41,19,9,4,12,15
80,88,129,214,386,15127,507,7614,41,19,9,0,12,16
80,89,129,222,370,15128,669,7779,43,19,9,1,12,16
80,88,129,216,390,15129,670,7780,56,20,10,2,12,16
80,88,129,214,386,15130,507,7614,41,19,9,0,12,16
80,89,130,231,369,15131,539,7647,44,19,11,1,12,16
80,88,129,213,389,15132,671,7781,56,20,11,1,12,16
80,89,129,220,384,15133,672,7782,43,19,11,2,12,16
80,89,129,221,370,15134,673,7783,43,19,9,1,12,16
80,88,129,211,388,15135,507,7784,56,20,9,1,12,16
80,89,130,231,484,15136,622,7647,44,19,11,1,12,16
80,91,129,210,386,15137,674,7785,55,20,9,1,12,16
80,89,130,231,484,15138,675,7685,44,19,9,0,12,16
80,90,128,226,372,15139,676,7786,42,19,9,0,12,16
80,88,129,212,388,15140,507,7787,41,19,9,0,12,16
80,91,129,210,386,15141,548,7656,55,20,10,0,12,16
80,105,145,205,390,15142,677,7788,56,20,9,1,12,16
80,88,129,214,386,15143,678,7789,41,19,9,0,12,16
80,89,130,219,367,15144,679,7790,45,19,9,1,12,16
80,88,129,215,390,15145,656,7766,56,20,10,1,12,16
80,89,129,222,370,15146,680,7791,43,19,10,1,12,16
80,88,129,212,388,15147,613,7721,56,20,10,2,12,16
80,91,129,210,386,15148,540,7792,55,20,11,1,12,16
80,89,129,221,370,15149,681,7793,42,19,11,1,12,16
80,89,129,215,384,15150,682,7794,41,19,10,1,12,16
80,89,129,221,370,15151,562,7669,43,19,10,1,12,16
80,89,130,235,484,15152,663,7773,45,19,10,3,13,15
80,89,130,231,484,15153,683,7795,44,19,9,1,12,16
80,89,130,220,384,15154,603,7711,45,19,9,0,12,16
80,90,133,228,371,15155,684,7796,40,19,9,0,12,16
80,89,129,222,383,15156,685,7797,43,19,9,0,12,16
80,88,129,213,389,15157,556,7664,41,19,9,1,12,16
80,89,129,222,370,15158,686,7798,43,19,9,1,12,16
80,89,129,220,384,15159,687,7799,43,19,10,0,12,16
80,89,129,221,370,15160,688,7737,43,19,10,0,12,16
80,89,130,220,384,15161,683,7800,44,19,10,1,12,16
80,88,129,214,386,15162,507,7614,41,19,10,0,12,16
80,88,129,215,390,15163,689,7801,56,20,9,1,12,16
80,88,129,214,386,15164,690,7802,41,19,10,1,12,16
80,88,129,215,390,15165,554,7662,56,20,10,0,12,16
80,88,129,213,389,15166,691,7803,56,20,10,1,12,16
80,89,129,221,370,15167,562,7804,43,19,10,0,12,16
80,89,129,216,384,15168,637,7748,41,19,10,2,12,16
80,88,129,211,388,15169,537,7645,56,20,10,2,12,16
80,88,129,216,385,15170,663,7805,41,19,10,1,12,16
80,89,130,231,369,15171,576,7685,44,19,10,1,12,16
80,91,129,210,387,15172,692,7806,55,20,10,5,12,16
80,88,129,214,386,15173,659,7769,41,19,10,4,13,15
80,105,145,205,390,15174,677,7788,56,20,10,1,12,16
80,89,130,231,484,15175,693,7706,44,19,10,0,12,16
80,88,129,214,386,15176,507,7614,41,19,10,4,12,15
80,88,129,214,386,15177,694,7807,41,19,10,1,12,16
80,88,129,213,388,15178,695,7808,56,20,11,4,12,15
80,90,128,224,382,15179,601,7809,55,20,9,1,12,16
80,88,129,214,386,15180,507,7614,41,19,9,0,12,16
80,88,129,214,386,15181,507,7614,41,19,10,0,12,16
80,88,129,213,389,15182,696,7810,56,20,9,0,12,16
80,89,130,231,369,15183,576,7685,44,19,10,1,12,16
80,90,128,226,372,15184,676,7786,42,19,10,0,12,16
80,88,129,212,386,15185,532,7640,41,19,10,1,12,16
80,88,129,211,388,15186,537,7645,56,20,10,1,12,16
80,88,129,216,390,15187,697,7811,56,20,10,3,13,15
80,88,129,212,383,15188,528,7636,41,19,11,4,12,15
80,88,129,221,383,15189,698,7812,43,19,11,0,12,16
80,89,130,219,384,15190,578,7686,44,19,11,1,12,16
80,88,129,212,383,15191,699,7813,41,19,11,1,12,16
80,90,128,225,372,15192,700,7814,42,19,10,1,12,16
80,89,129,220,384,15193,701,7815,43,19,10,0,12,16
80,90,133,228,371,15194,702,7631,40,19,10,2,12,16
80,88,129,213,388,15195,536,7716,56,20,11,3,12,15
80,89,130,219,384,15196,703,7816,45,19,10,3,14,15
80,88,129,212,383,15197,542,7650,41,19,10,0,12,16
80,88,129,213,388,15198,507,7772,56,20,10,4,12,15
80,89,130,231,369,15199,622,7690,44,19,11,1,12,16
80,89,130,231,369,15200,662,7706,44,19,9,0,12,16
80,89,129,220,384,15201,704,7817,44,19,11,1,12,16
80,89,130,220,384,15202,558,7665,44,19,11,1,12,16
80,89,129,215,384,15203,682,7794,41,19,9,1,12,16
80,88,129,214,386,15204,507,7614,41,19,9,0,12,16
80,88,129,211,388,15205,669,7818,56,20,9,1,12,16
80,91,129,210,387,15206,631,7742,55,20,9,1,12,16
